Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),Akcesoria: (product.metafields.custom.akcesoria_),Dyrektor kreatywny: (product.metafields.custom.dyrektor_kreatywny),Kolor: (product.metafields.custom.kolor_),Krótki opis (product.metafields.custom.krotki_opis),Materiał:  (product.metafields.custom.material),Numer seryjny: (product.metafields.custom.numer_seryjny),Rok produkcji: (product.metafields.custom.rok_produkcji_),Stan: (product.metafields.custom.stan_),Wymiary: (product.metafields.custom.wymiary),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Bag/Case closure (product.metafields.shopify.bag-case-closure),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bracelet design (product.metafields.shopify.bracelet-design),Carry options (product.metafields.shopify.carry-options),Case color (product.metafields.shopify.case-color),Closure type (product.metafields.shopify.closure-type),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Color (product.metafields.shopify.color-pattern),Dress style (product.metafields.shopify.dress-style),Earring design (product.metafields.shopify.earring-design),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Heel height type (product.metafields.shopify.heel-height-type),Heel shoe type (product.metafields.shopify.heel-shoe-type),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Occasion style (product.metafields.shopify.occasion-style),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Sandal style (product.metafields.shopify.sandal-style),Scarf/Shawl style (product.metafields.shopify.scarf-shawl-style),Shoe fit (product.metafields.shopify.shoe-fit),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Sneaker style (product.metafields.shopify.sneaker-style),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Wallet features (product.metafields.shopify.wallet-features),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pierscionek-cartier-mini-love-1p-diamond-18k-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_diamond_love1.jpg?v=1720194396,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pierscionek-cartier-mini-love-1p-diamond-18k-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_diamond_love2.jpg?v=1720194395,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pierscionek-cartier-mini-love-1p-diamond-18k-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_diamond_love3.jpg?v=1720194395,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pierscionek-cartier-mini-love-1p-diamond-18k-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_diamond_love5.jpg?v=1720194396,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pierscionek-cartier-mini-love-51,Pierścionek Cartier Love Rose Gold 18K (51),"<p><span>Kiedy mówi się o Cartier, prawdopodobnie jedno z pierwszych skojarzeń to kolekcja LOVE – jest jedną z najbardziej znanych i cenionych kolekcji tej marki. Zaprojektowana przez legendarnego Aldo Cipullo w 1969 roku, stała się symbolem wieczności i miłości. Z jej charakterystycznymi śrubowymi detalami, kolekcja LOVE symbolizuje nierozerwalną więź między dwojgiem ludzi, sugerując, że są oni zamknięci w miłości. <meta charset=""UTF-8"">Odkryj ikonę stylu i elegancji z Cartier i zainwestuj w ponadczasowy design, który będzie towarzyszył Ci przez lata – kultowy pierścionek Cartier Love Wedding Band Ring (Mini Love) wykonany z różowego złota (18K). Rozmiar pierścionka to 51.0 (rozmiar 11). dostępny z oryginalnym certyfikatem z butiku. </span></p>
<!---->",Cartier,Apparel & Accessories > Jewelry > Rings,Pierścionek,Biżuteria,true,Title,Default Title,,,,,,,,0073,300.0,shopify,1,deny,manual,4900.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_love3.jpg?v=1720194676,1,"",false,,,,,adult,,,,,,,,,,,"Certyfikat autentyczności, poszetka",,Różowe złoto,"Cartier Love Wedding Band Mini, różowe złoto 18K, rozmiar 51",Różowe złoto,GJR666,2019,Bardzo dobry,51.0 / 11,,dorosli,,,,,,,,,,rozowe-zloto,,,,,,,,rozowe-zloto,bizuteria-luksusowa; bizuteria-artystyczna,,,,51,,,,,,,kobieta,,,,,,,,,,kg,,,active
pierscionek-cartier-mini-love-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_love2.jpg?v=1720194676,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pierscionek-cartier-mini-love-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_love4.jpg?v=1720194676,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pierscionek-cartier-mini-love-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_love5.jpg?v=1720194676,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pierscionek-cartier-mini-love-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Cartier_love1.jpg?v=1720194675,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottega-veneta-intrecciato-hobo-medium-brazowa,Bottega Veneta Intrecciato Hobo Small Brązowa,"<p><meta charset=""UTF-8""><span>Torba hobo jest stylowa bez wysiłku. Wykonana z delikatnej skóry cielęcej w kultowym wykończeniu Intrecciato, charakteryzującym się niepowtarzalnym skórzanym splotem Bottega Veneta. Ten unikalny splot jest jednym ze znaków towarowych firmy od 1966 roku i jest stale reinterpretowany w szerokiej gamie kształtów i kolorów. Oferowany model jest w kolorze brązowym, rozmiaru Small. </span></p>
<!---->",Bottega Veneta,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Hobo Bags",Torebka,Torebki,true,Title,Default Title,,,,,,,,0063,800.0,shopify,0,deny,manual,5600.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0669/2762/4456/files/Bottega_Hobo_Intrecciato_Medium1.jpg?v=1720194950,1,"",false,,,,,,,,,,,,,,,,Brak,,Brązowy,,,,,Dobry,40 x 28 x 7 cm,,dorosli,,,skorzane,,,pas-naramienny,,,,brazowy,,,,,,,,,,,,,,,,,,,,kobieta,,,,,,,,,,kg,,,active
